,Factor1,Factor2,Factor3,Factor4
qualifying_pace,0.7638025920717112,-0.3880840415279394,0.05231160967712516,0.06482833926155628
best_race_lap,0.8686390955819999,-0.07939920605096822,0.03434875979618252,-0.17454936168740343
avg_top10_pace,0.7657328554419646,0.04164617585504103,-0.03298508318779916,-0.025896917514023125
stint_consistency,0.12977389320524693,-0.21305281786316813,0.6191681016197507,0.26844077945704065
sector_consistency,-0.01732223489774347,0.2632980312766196,0.8182888611198657,-0.0835042646369825
braking_consistency,0.06550190787453013,0.0035544383934165954,0.8585849703072937,-0.2084741808362228
pace_degradation,0.0016106505864240488,0.07235828323879677,0.04443853045730744,0.30756144540712915
late_stint_perf,0.4996587171244101,0.4229364671803951,0.3154901768642129,0.3941921515494886
early_vs_late_pace,0.15568606499707202,0.22034827276241026,0.40541767747120366,0.6924778752011321
position_changes,-0.085958624785017,0.7354581172858995,0.055632983875267,0.18724506833336452
positions_gained,0.05853453283215424,0.8128543354840742,-0.008996052055053359,-0.02227457511293867
performance_normalized,0.803461477380782,0.29438518413249115,0.1919174256883919,-0.12897944240807657
steering_smoothness,-0.0747254404698486,0.009076677271314153,-0.17445384429701985,0.43886894328163256
lateral_g_utilization,0.22663104440184115,0.12264023011521334,0.1653268185071869,-0.6753270323790848
