,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
qualifying_pace,-0.24520368391061353,0.3037605169198995,-0.6927128226060429,0.12974713766148252,0.2448567445470924
best_race_lap,-0.24837694240389552,0.10256556818747899,-0.7641242367830887,0.08275081242009667,0.20121919530811402
avg_top10_pace,-0.18672843193172564,-0.03326227325749717,-0.7098832530270116,-0.16716928583052965,-0.2901202460506846
stint_consistency,-0.4690222208979329,0.10381166313282224,0.017287008184140532,0.10211216931125278,-0.09473884740527733
sector_consistency,-0.7960019169405078,0.009876876239119354,0.13450583616963038,0.09430061232130088,-0.225556958647415
braking_consistency,-0.9342273002794093,0.1855168242630331,0.19733502238244113,-0.04913417540618408,0.03745580673986803
pace_degradation,-0.05190440397504053,0.054881350706385855,0.04480165995850978,-0.033433146979288175,-0.12071411365519037
late_stint_perf,-0.3874407017620246,-0.3039358223213912,-0.3973726083292632,0.4702836844768382,-0.33359353806711795
early_vs_late_pace,-0.28238268741218264,-0.1910039902371262,-0.05634933936555248,0.621655614074307,-0.38265033654227026
position_changes,-0.17899259727704986,-0.7371662991884849,0.18342134849356925,0.37172111443429523,0.3356910958765854
positions_gained,-0.19990475861060691,-0.8574884269312743,0.04576512653513323,-0.32027023794173376,-0.10984192933792464
performance_normalized,-0.5036439341429444,-0.24113420882511472,-0.6919260762944485,-0.1839299404394456,0.11174420830622168
